1174.8261,168633
1173.833,170597
1172.8397,170275
1171.8463,170243
1170.8528,170030
1169.8591,169680
1168.8653,169733
1167.8713,169499
1166.8772,169479
1165.8829,169514
1164.8885,169246
1163.894,169084
1162.8993,168900
1161.9045,168965
1160.9095,168622
1159.9144,168699
1158.9191,168551
1157.9237,168672
1156.9282,168433
1155.9325,168226
1154.9366,168309
1153.9407,168240
1152.9445,168032
1151.9483,168135
1150.9519,167609
1149.9553,167656
1148.9586,167517
1147.9618,167774
1146.9648,167657
1145.9677,167489
1144.9704,167381
1143.973,167429
1142.9754,167616
1141.9777,167502
1140.9799,167192
1139.9819,167002
1138.9837,167184
1137.9855,167322
1136.987,166964
1135.9885,166884
1134.9897,166957
1133.9909,166895
1132.9919,166587
1131.9927,166703
1130.9935,166808
1129.994,166691
1128.9944,166503
1127.9947,166411
1126.9949,166262
1125.9948,166317
1124.9947,165962
1123.9944,165954
1122.994,166088
1121.9934,165987
1120.9926,166067
1119.9918,165877
1118.9907,165522
1117.9896,165326
1116.9882,165511
1115.9868,165286
1114.9852,165005
1113.9834,164824
1112.9816,164598
1111.9795,164772
1110.9773,164311
1109.975,164440
1108.9725,164284
1107.9699,163862
1106.9672,163794
1105.9643,163578
1104.9612,163467
1103.958,163386
1102.9547,163073
1101.9512,162903
1100.9476,162840
1099.9438,162566
1098.9399,162363
1097.9358,162468
1096.9316,162094
1095.9272,161996
1094.9227,161689
1093.9181,161463
1092.9133,161182
1091.9083,161072
1090.9033,161083
1089.898,160775
1088.8926,160655
1087.8871,160421
1086.8815,160169
1085.8756,159676
1084.8697,159482
1083.8636,159339
1082.8573,158981
1081.8509,158891
1080.8444,158795
1079.8377,158307
1078.8309,158327
1077.8239,158051
1076.8168,157786
1075.8095,157657
1074.8021,157203
1073.7945,156885
1072.7868,156790
1071.779,156308
1070.771,156384
1069.7628,156108
1068.7545,155763
1067.7461,155633
1066.7375,155517
1065.7288,154987
1064.7199,155322
1063.7109,154812
1062.7017,154582
1061.6924,154280
1060.6829,154240
1059.6733,153940
1058.6636,153880
1057.6537,153695
1056.6436,153491
1055.6334,153646
1054.6231,153128
1053.6126,153085
1052.6019,152792
1051.5912,152809
1050.5802,152725
1049.5692,152553
1048.5579,152398
1047.5466,152190
1046.5351,151889
1045.5234,151982
1044.5116,151604
1043.4996,151695
1042.4875,151234
1041.4753,151315
1040.4629,151288
1039.4503,151049
1038.4376,150724
1037.4248,150701
1036.4118,150627
1035.3987,150631
1034.3854,150384
1033.372,150269
1032.3584,150020
1031.3447,149887
1030.3308,150042
1029.3168,149743
1028.3026,149723
1027.2883,149626
1026.2739,149332
1025.2593,149549
1024.2445,149402
1023.2296,149421
1022.2146,149004
1021.1994,148763
1020.184,148728
1019.1685,148619
1018.1529,148741
1017.1371,148254
1016.1212,148280
1015.1051,148285
1014.0889,147889
1013.0725,147916
1012.056,147867
1011.0393,147800
1010.0225,147652
1009.0055,147268
1007.9884,147159
1006.9711,147408
1005.9537,147231
1004.9361,146951
1003.9184,146796
1002.9006,146863
1001.8826,146480
1000.8644,146240
999.84611,146052
998.82766,145892
997.80906,145745
996.79032,145522
995.77142,145212
994.75238,144882
993.73319,144561
992.71385,144332
991.69436,144204
990.67472,143811
989.65494,143602
988.635,143592
987.61492,143172
986.59469,142464
985.57431,142686
984.55378,142383
983.53311,142000
982.51228,141810
981.49131,141457
980.47018,141563
979.44891,140867
978.42749,140879
977.40592,140650
976.3842,140440
975.36233,140210
974.34032,140057
973.31815,139902
972.29584,139530
971.27338,139269
970.25076,139233
969.228,139051
968.20509,138987
